,Name of movie,Year of relase,Genre,Watchtime,Certificate,Movie Rating,Mtascore,Director,Writers,Stars,Rating,Description,budget,Gross
0,Saltburn,2023,"['Comedy,Drama,Thriller']",2h 11m,2023,7.1,61,['Emerald Fennell'],[''],"['Barry Keoghan', 'Jacob Elordi', 'Rosamund Pike']",7.1,"A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten.",,"$20,643,597"
1,Rebel Moon - Part One: A Child of Fire,2023,"['Action,Adventure,Drama']",2h 13m,2023,5.6,31,['Zack Snyder'],"['Zack Snyder,Kurt Johnstad,Shay Hatten']","['Sofia Boutella', 'Djimon Hounsou', 'Ed Skrein']",5.6,"When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival.",,
2,Poor Things,2023,"['Comedy,Drama,Romance']",2h 21m,2023,8.5,87,['Yorgos Lanthimos'],[''],"['Emma Stone', 'Mark Ruffalo', 'Willem Dafoe']",8.5,"The incredible tale about the fantastical evolution of Bella Baxter; a young woman brought back to life by the brilliant and unorthodox scientist, Dr. Godwin Baxter.",,"$17,658,894"
