,Name of movie,Year of relase,Genre,Watchtime,Certificate,Movie Rating,Mtascore,Director,Stars,Description,Votes,Gross
0,American Psycho,(2000),"Crime, Drama, Horror            ",102 min,,7.6,7.6,MaryHarron,"ChristianBale,JustinTheroux,JoshLucas,BillSage","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","690,930",$15.07M
1,Batoru rowaiaru,(2000),"Action, Adventure, Drama            ",114 min,,7.5,7.5,KinjiFukasaku,"TatsuyaFujiwara,AkiMaeda,TarôYamamoto,ChiakiKuriyama","In the future, the Japanese government captures a class of ninth-grade students and forces them to kill one another under the revolutionary ""Battle Royale"" act.","192,182",
2,Wo hu cang long,(2000),"Action, Adventure, Drama            ",120 min,,7.9,7.9,AngLee,"ChowYun-Fat,MichelleYeoh,ZiyiZhang,ChangChen",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,"279,040",$128.08M
3,Final Destination,(2000),"Horror, Thriller            ",98 min,,6.7,6.7,JamesWong,"DevonSawa,AliLarter,KerrSmith,KristenCloke","Death stalks Alex Browning and a group of high school students, who survived a doomed airliner.","274,565",$53.33M
