,Name of movie,Year of relase,Genre,Watchtime,Certificate,Movie Rating,Mtascore,Director,Writers,Stars,Rating,Description,Gross
0,Aquaman and the Lost Kingdom,2023,"['Action,Adventure,Fantasy']",2023,2023,6.0,42,['James Wan'],"['David Leslie Johnson-McGoldrick,James Wan,Jason Momoa']","['Jason Momoa', 'Patrick Wilson', 'Yahya Abdul-Mateen II']",6.0,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.","$339,463,347"
1,Aquaman and the Lost Kingdom,2023,"['Action,Adventure,Fantasy']",2023,2023,6.0,42,['James Wan'],"['David Leslie Johnson-McGoldrick,James Wan,Jason Momoa']","['Jason Momoa', 'Patrick Wilson', 'Yahya Abdul-Mateen II']",6.0,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.","$339,463,347"
2,Aquaman and the Lost Kingdom,2023,"['Action,Adventure,Fantasy']",2023,2023,6.0,42,['James Wan'],"['David Leslie Johnson-McGoldrick,James Wan,Jason Momoa']","['Jason Momoa', 'Patrick Wilson', 'Yahya Abdul-Mateen II']",6.0,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.","$339,463,347"
